d,CN,AN,FK15,KT17,G6K
123,nan,nan,nan,nan,4
124,7200,nan,nan,nan,23
125,19200,nan,nan,nan,47
126,nan,2280,1440,nan,19
127,nan,nan,nan,nan,85
128,nan,nan,1920,nan,94
129,nan,nan,nan,nan,33
130,nan,3900,5952,nan,nan
131,nan,nan,nan,nan,41
132,nan,nan,43200,nan,nan
133,nan,nan,nan,nan,71
134,nan,nan,nan,158016,nan
135,nan,nan,nan,nan,277
136,nan,nan,nan,nan,354
137,nan,nan,nan,nan,362
138,nan,nan,nan,1680000,nan
139,nan,nan,nan,nan,380
140,nan,nan,nan,600000,nan
141,nan,nan,nan,nan,190
142,nan,nan,nan,840000,nan
143,nan,nan,nan,nan,669
144,nan,nan,nan,840000,nan
145,nan,nan,nan,nan,1496
146,nan,nan,nan,1536000,nan
147,nan,nan,nan,nan,4790
148,nan,nan,nan,5388000,nan
149,nan,nan,nan,nan,4660
150,nan,nan,nan,4350912,nan
151,nan,nan,nan,nan,10980
152,nan,nan,nan,nan,nan
153,nan,nan,nan,nan,21864
154,nan,nan,nan,nan,nan
155,nan,nan,nan,nan,25344
